@relation mainnew-weka.filters.unsupervised.attribute.Remove-R1_clustered

@attribute Instance_number numeric
@attribute 769.948669 numeric
@attribute 2982.984131 numeric
@attribute Cluster {cluster0,cluster1}

@data
509,5250.498535,1816.020264,cluster1
510,5273.830078,1818.992432,cluster1
511,5108.386719,1577.871948,cluster1
512,5292.919922,1422.945435,cluster1
513,5292.919922,1389.879639,cluster1
514,5641.199707,1370.560303,cluster1
515,5116.022461,1620.597412,cluster1
516,5201.289551,1790.75647,cluster1
517,5640.351074,1366.473511,cluster1
518,5720.527832,1986.550781,cluster1
519,5841.428711,1902.214355,cluster1
520,5292.495605,1879.922729,cluster1
521,5678.95459,1980.606323,cluster1
522,5992.873047,1683.385376,cluster1
523,5292.495605,1923.019775,cluster1
524,5149.959473,1810.447266,cluster1
525,5668.773438,1989.522949,cluster1
526,5561.447266,1373.532471,cluster1
527,4981.122559,1573.042114,cluster1
528,5125.355469,1828.280518,cluster1
529,5830.399414,1982.092407,cluster1
530,5179.654785,1396.567139,cluster1
531,6045.475586,1650.69104,cluster1
532,4947.609375,1565.611572,cluster1
533,4942.943359,1564.86853,cluster1
534,5526.237793,2241.417725,cluster1
535,5104.144531,1400.653931,cluster1
536,5528.358887,1907.044189,cluster1
537,5893.606934,2013.300659,cluster1
538,5596.657227,1209.689453,cluster1
539,6098.078125,1631.371704,cluster1
540,5901.666992,2017.758911,cluster1
541,5057.905273,1884.009521,cluster1
542,5547.023926,1907.044189,cluster1
543,5045.603027,1876.950562,cluster1
544,5489.331055,1378.362305,cluster1
545,5565.265137,1923.019775,cluster1
546,4898.400879,1635.458496,cluster1
547,5494.421387,1366.473511,cluster1
548,5173.291504,1296.998047,cluster1
549,5495.694336,1362.758179,cluster1
550,5510.117676,1377.247681,cluster1
551,5031.179688,1855.401978,cluster1
552,5567.38623,1939.366943,cluster1
553,5941.119141,2037.449829,cluster1
554,5813.85498,2105.439209,cluster1
555,5020.150391,1404.369141,cluster1
556,5851.609863,2087.977295,cluster1
557,4824.587402,1524.00061,cluster1
558,4942.943359,1438.921143,cluster1
559,6188.860352,1625.427246,cluster1
560,4813.981934,1519.542236,cluster1
561,4942.943359,1424.803101,cluster1
562,6196.92041,1624.684204,cluster1
563,5637.806152,2195.719971,cluster1
564,5239.044434,1295.140381,cluster1
565,5251.770996,2142.963379,cluster1
566,5967.42041,1929.335693,cluster1
567,4830.526367,1491.677856,cluster1
568,5017.180664,1481.646606,cluster1
569,6226.190918,1646.232666,cluster1
570,4771.560547,1500.594482,cluster1
571,6236.37207,1608.337036,cluster1
572,5015.908203,1503.195068,cluster1
573,4830.526367,1464.927979,cluster1
574,5575.870605,1055.877563,cluster1
575,5032.452148,1503.195068,cluster1
576,5544.054688,2049.710205,cluster1
577,6002.630371,1962.030029,cluster1
578,4830.526367,1444.865479,cluster1
579,5007.848145,1280.650879,cluster1
580,5790.947266,2233.987305,cluster1
581,5099.902344,1164.734741,cluster1
582,5625.503906,2298.26123,cluster1
583,6033.17334,1992.495117,cluster1
584,4975.60791,1275.449585,cluster1
585,6046.324219,1998.439575,cluster1
586,6181.648438,1718.680298,cluster1
587,5484.664551,2042.279663,cluster1
588,5149.535645,2101.723877,cluster1
589,8348.110352,4911.948242,cluster1
590,5393.882812,2722.915771,cluster1
591,4715.140137,3378.288086,cluster1
592,4353.709961,3476.37085,cluster1
593,4420.311523,3526.155518,cluster1
594,4257.837402,3383.86084,cluster1
595,4465.702148,3561.822021,cluster1
596,4240.444336,3357.854004,cluster1
597,4447.885254,3580.398193,cluster1
598,4514.0625,3599.717529,cluster1
599,4408.433594,3582.255859,cluster1
600,4297.289062,3324.416748,cluster1
601,4532.728027,3622.752197,cluster1
602,4535.697754,3570.367188,cluster1
603,4167.055664,3395.006592,cluster1
604,4540.36377,3646.530029,cluster1
605,4306.197754,3298.781494,cluster1
606,4541.212402,3652.845947,cluster1
607,4143.299316,3406.895508,cluster1
608,4570.483398,3561.450439,cluster1
609,4617.570801,3476.742432,cluster1
610,4628.600586,3473.770264,cluster1
611,4138.633301,3435.50293,cluster1
612,4205.234863,3457.051514,cluster1
613,4548.423828,3718.234619,cluster1
614,4140.754395,3472.655762,cluster1
615,4614.177246,3613.835693,cluster1
616,4150.086914,3493.0896,cluster1
617,4651.083984,3538.787354,cluster1
618,4609.510742,3392.777588,cluster1
619,4556.060059,3768.390625,cluster1
620,4118.270996,3179.521484,cluster1
621,4164.510254,3505.350098,cluster1
622,4290.501953,3171.3479,cluster1
623,4287.10791,3146.084229,cluster1
624,4690.535645,3569.252441,cluster1
625,4676.536621,3575.197021,cluster1
626,4095.363281,3146.084229,cluster1
627,4131.421387,3533.95752,cluster1
628,4078.394775,3156.486816,cluster1
629,4159.84375,3130.851562,cluster1
630,3999.06665,3746.842041,cluster1
631,4234.081543,3198.0979,cluster1
632,4223.051758,3203.670654,cluster1
633,4731.68457,3552.905273,cluster1
634,4680.778809,3708.203369,cluster1
635,4060.153564,3168.375732,cluster1
636,4092.393799,3174.320068,cluster1
637,4228.990723,3182.865234,cluster1
638,4729.13916,3599.717529,cluster1
639,4253.595215,3096.671143,cluster1
640,4343.104492,3118.591064,cluster1
641,4214.991699,3189.924316,cluster1
642,4599.753906,3283.548828,cluster1
643,4191.660156,3114.132812,cluster1
644,4049.972412,3183.979736,cluster1
645,4757.561523,3545.846436,cluster1
646,4343.104492,3102.615479,cluster1
647,4754.167969,3619.408447,cluster1
648,4226.445312,3095.556641,cluster1
649,4276.078613,3075.122559,cluster1
650,4779.196777,3544.360352,cluster1
651,4577.694824,3903.625977,cluster1
652,4006.702637,3206.642822,cluster1
653,4800.831543,3544.360352,cluster1
654,4647.266113,3266.087158,cluster1
655,4780.893555,3661.019531,cluster1
656,4585.330566,3954.153564,cluster1
657,4840.283203,3545.846436,cluster1
658,4133.118164,3022.737305,cluster1
659,4804.225098,3697.057617,cluster1
660,3952.827393,3235.621826,cluster1
661,4741.01709,3824.119385,cluster1
662,4914.520996,3401.694092,cluster1
663,4130.573242,3019.393555,cluster1
664,4126.331055,3012.334717,cluster1
665,4813.981934,3716.376953,cluster1
666,3978.280273,2975.182129,cluster1
667,4468.247559,3864.615723,cluster1
668,4088.575928,3350.423584,cluster1
669,4913.248047,3549.561523,cluster1
670,4847.070801,3702.630371,cluster1
671,4380.435059,2963.293213,cluster1
672,4181.902832,2947.317627,cluster1
673,3891.316406,3268.316162,cluster1
674,4475.458984,3830.063965,cluster1
675,4571.331543,3146.455566,cluster1
676,4767.742676,3902.139893,cluster1
677,3996.945557,3306.211914,cluster1
678,4873.796387,3694.828369,cluster1
679,4948.458008,3549.561523,cluster1
680,4789.377441,3221.503906,cluster1
681,4845.79834,3777.678711,cluster1
682,4202.265137,2938.772461,cluster1
683,4848.343262,3782.508545,cluster1
684,4962.032715,3549.561523,cluster1
685,4041.488037,3373.82959,cluster1
686,4943.367188,3506.4646,cluster1
687,4948.458008,3523.554688,cluster1
688,4810.164062,3908.456055,cluster1
689,4622.237305,4100.535156,cluster1
690,4385.101562,3834.150635,cluster1
691,3956.221191,3329.618164,cluster1
692,4468.247559,3776.935547,cluster1
693,3951.554688,3332.590332,cluster1
694,4820.769531,3902.511475,cluster1
695,4237.475098,2907.935791,cluster1
696,4062.69873,3406.152588,cluster1
697,3909.133301,2977.411133,cluster1
698,3944.343018,3336.677002,cluster1
699,4000.763672,3394.635254,cluster1
700,3913.799805,2880.814453,cluster1
701,4503.033203,3166.146484,cluster1
702,3817.503174,3307.326416,cluster1
703,4407.160645,3959.35498,cluster1
704,4760.955566,3989.44873,cluster1
705,4130.148926,2877.470703,cluster1
706,4259.109863,2904.220459,cluster1
707,3986.764404,3391.291504,cluster1
708,3982.098145,3390.176758,cluster1
709,3766.597412,4038.118652,cluster1
710,3676.664062,4222.395508,cluster1
711,3593.518066,4632.560547,cluster0
712,3092.945312,4069.326904,cluster1
713,3551.09668,4955.788574,cluster0
714,3630.424561,5004.086914,cluster0
715,3628.303467,5009.288086,cluster0
716,3593.518066,5086.937012,cluster0
